"RegionName","City","State","Metro","CountyName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",7.1530758226037,6.2745098039215,6.1632653061224,6.6740823136818,6.7555555555555,6.677796327212,6.8767123287671,6.8297232873872,6.7910131411615,6.6711140760507,6.3670411985018,6.2877619900829,5.6625141562853,5.4054054054054,5.7591623036649,5.459508644222,5.7159188339525,5.7175528873642,5.7714285714285,6.253908692933,5.857740585774,5.8858151854031,5.7692307692307,5.5512721665381,5.3333333333333,5.0847457627118,5.1282314268278,4.8465266558966,4.9619847939175,5.01981003962,5.0847457627118,5.311778290993,5.4054054054054,5.4814814814814,5.5865921787709,5.2770448548812,4.8096192384769,4.5635953496442,4.7641734159123,4.8615957199348,5.0025012506253,5,5.2910052910052,5.5632823365785,4.8792390339122,4.7619047619047,4.7619047619047,4.8710601719197,4.7846889952153,4.7287899860917,3.3379694019471,4.0511727078891,4.1267194664443,5,5.7142857142857,6.060606060606,5.9561128526645,5.4565296471444
"Paradise","Las Vegas","NV","Las Vegas","Clark",11.5384615384615,9.9399599733155,9.3846153846153,9.5238095238095,10,11.060606060606,11.2021857923497,11.660777385159,11.9024390243902,11.3655640373197,10.9109109109109,10.1010101010101,10,9.6538461538461,9.6200980392156,8.9375,8.6734693877551,8.786610878661,8.6021505376344,8.5106382978723,8.5487873208997,9.1818181818181,9.1062394603709,9.090909090909,8.8,9.0892561682939,8.5738782509288,7.7041602465331,7.8014184397163,7.1479628305932,7.4418604651162,7.2239422084623,6.6730219256434,6.9241011984021,6.8178029671611,6.8965517241379,6.2069051129725,6.8965517241379,6.517094017094,6.8741893644617,6.8741893644617,7.3170731707317,6.1326658322903,6.0188087774294,6.3125,6.6666666666666,7.2008,6.7796610169491,6.3888888888888,6.0120240480961,4.6339202965708,5.2238805970149,5,5.263711969681,5.4794520547945,6.253908692933,6.2265566391597,5.7894736842105
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",14.2,14.2,12.5156445556946,12.7272727272727,13.4228187919463,13.531799729364,13.6674259681093,14.0625,14.5714285714285,14.7826086956521,14.0461215932914,12.531328320802,11.7785630153121,11.3333333333333,10.2564102564102,10.1,9.1116173120728,10,10.0200400801603,10,8.5915492957746,9.5890410958904,11.1747851002865,10.01001001001,10,10,9.8484848484848,10.1010101010101,9.724923589886,9.724923589886,9.1743119266055,9.090909090909,7.6923076923076,7.7041602465331,8.4615384615384,7.6923076923076,6.6755674232309,6.25,5.7627118644067,5.2356020942408,5.8823529411764,5.379746835443,5.5762081784386,5.5617352614015,5.5617352614015,6.25,5.7142857142857,5.7142857142857,4.9095607235142,4.6363636363636,3.7622272385252,4.0816326530612,4.0160642570281,4.6711153479504,4.5454545454545,4.4444444444444,4.5495905368516,4.8571428571428
"Upper West Side","New York","NY","New York","New York",4.5454545454545,5.4505005561735,5.7971014492753,5.7971014492753,5.7894736842105,6,6.0130718954248,6,6.4,6.4,6.1176470588235,7.1285140562248,6.0120240480961,4.9523809523809,5.0556117290192,5.005005005005,5.0847457627118,5.1282051282051,5.0847457627118,5.6761268781302,5.6761268781302,5.1396648044692,5.2554744525547,5.6761268781302,5.4618181818181,5.4618181818181,5.5710306406685,5,4.8571428571428,5.1162790697674,4.8571428571428,4.5714285714285,4.9206349206349,5.0125313283208,5.1948051948051,6.2153846153846,5.2380952380952,5.8343057176196,5.8823529411764,6.4516129032258,6.4143681847338,6.4143681847338,6.4143681847338,6.318082788671,6.25,5.7142857142857,5.7142857142857,5.7142857142857,5.1898734177215,5.2736842105263,4.7675804529201,5.2380952380952,5.2631578947368,5.4838709677419,5.4054054054054,5.4838709677419,5.7398630858346,5.4127198917456
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",26.6666666666666,13.3422281521014,11.7279124315871,11.1111111111111,11.1111111111111,11.1160515784793,10.4166666666666,10.5941194301303,10.5268421052631,10.204081632653,10.0334448160535,9.2592592592592,8.4805653710247,7.8368794326241,8.0363214528581,8,8,9.0913636363636,7.7220077220077,8.5625,8.5625,7.949790794979,7.4118378869802,8,6.8458781362007,6.3020833333333,6.3541666666666,6.9491525423728,5.5366045657307,5.065963060686,5.0795279630579,5.8997050147492,5.5555555555555,6.6688896298766,6.5108514190317,5.8267716535433,4.7619047619047,5.8267716535433,5.5555555555555,5.1724137931034,5.0632911392405,4.3715846994535,6.8767908309455,6.1764705882352,5.5555555555555,5.7425878359652,6.1345852895148,6.0150375939849,5.1108098755869,5.5710306406685,4.0816326530612,5.2631578947368,5.1219512195121,4.8192771084337,5.3968253968253,6.3492063492063,5.4054054054054,5.2629085866015
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",9.286618826509,6.6677779629938,6.8197317572175,7.6982294072363,7.8328981723237,9.0150250417362,8.704352176088,8.704352176088,8.3356487913309,8.0944350758853,8.1940257604823,7.5187969924812,7.0588235294117,6.8989306657468,7.1111111111111,6.7849361967009,7.258064516129,7.062937062937,6.6331658291457,6.9930069930069,6.8197317572175,7.4377656344869,7.6934913063548,7.1428571428571,6.7796610169491,6.061524473405,5.8867924528301,6.1764705882352,6.0273972602739,5.8840835539864,6.0273972602739,5.8823529411764,5.8910162002945,5.7861635220125,6.9848661233993,5.8666666666666,4.6533271288971,4.7619047619047,4.7727272727272,4.7619047619047,4.6376811594202,5.0561797752808,5.298245614035,5.1477597712106,4.7411918225315,4.8617731172545,5.0012503125781,5.889281507656,4.7809523809523,4.8096192384769,3.3824595312877,4.0139616055846,4.8792388387411,5.0025012506253,5.2687038988408,5.2036199095022,5.2687038988408,5.1069703243616
"Upper East Side","New York","NY","New York","New York",8.3333333333333,6.6889632107023,6.7796610169491,6.6666666666666,6.4583333333333,6.2578222778473,6.5573770491803,6.4516129032258,6.5625,6.6889632107023,7.4074074074074,7.099907099907,5.8620689655172,5.2687038988408,5.6603773584905,5.7142857142857,6.5442404006677,6.6666666666666,6.6666666666666,6.9767441860465,5.9701492537313,5.889281507656,6.1538461538461,5.6710775047258,5.6481481481481,5.6224899598393,5.7142857142857,5.5374592833876,5.6692913385826,5.3030303030303,5.3452115812917,5.6603773584905,5.6761268781302,5.5710306406685,5.5710306406685,5.4441260744985,4.9049049049049,5.0125313283208,5.2770448548812,5.4727793696275,5,4.9523809523809,5.5865921787709,5.7142857142857,5.2969502407704,5.3333333333333,6.1764705882352,6,5.6277056277056,6,4.6242774566473,5.2173913043478,5.4127198917456,5.5555555555555,6.060606060606,5.6818181818181,6.0120240480961,5.8234758871701
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8.3340278356529,10,10.01001001001,9.3506493506493,10.5263157894736,11.1234705228031,11.686143572621,12.1387283236994,12.7272727272727,12.5,12.5078173858661,11.7785630153121,10.7692307692307,10.2564102564102,10.05291005291,11.1234705228031,10.0294985250737,10,10,10.1449275362318,10,10.3401360544217,11.068252437587,10,9.6989966555183,10,8.5365853658536,8.2568807339449,9.375,9.7744360902255,8.235294117647,8.3333333333333,9.2929292929292,8.1799591002044,7.8846153846153,7.8771695594125,8.1085464079139,7.8125,7.0859167404782,6.4743967039434,6.5359477124183,7.0100143061516,7.4081481481481,7.6923076923076,8.1602658316825,8.7271817954488,9.090909090909,8.8235294117647,8.347245409015,7.7419354838709,5.1308363263211,6.25,5.9579805581687,6.2578222778473,6.9491525423728,6.8181818181818,6.8181818181818,6.4557779212395
"East New York","New York","NY","New York","Kings",,8.0369700622865,8.3333333333333,10.006671114076,10.5540897097625,10.5473965287049,11.1358574610244,11.1358574610244,8.6021505376344,8.0321285140562,7.4211502782931,7.9155672823218,7.4211502782931,7.2859744990892,7.2859744990892,7.9155672823218,8.5959885386819,8.5959885386819,7.4349442379182,8.5959885386819,7.9155672823218,8.1832953790682,9.1185410334346,7.2694235588972,9.317975722672,10.441767068273,10.840108401084,10.249775624439,8.7403598971722,6.6889632107023,7.7120822622107,7.2684210526315,6.4102564102564,6.3492063492063,6.1835820895522,5.6754207443803,6.269592476489,6.3492063492063,5.5710306406685,5.5710306406685,7.5949367088607,7.4349442379182,7.7120822622107,7.4349442379182,6.0150375939849,5.7306590257879,5.1413881748071,5.6710775047258,6.3965884861407,6.1349693251533,3.4749034749034,4.7727272727272,8.9219330855018,4.7619047619047,5.2770448548812,5.5809055809055,7.1599045346062,5.5555555555555
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",7.8651685393258,7.1479628305932,8.076923076923,9.7799511002444,9.090909090909,10.4728571428571,11.3052173913043,11.4791987673343,11.5555555555555,10.8108108108108,10.5374077976817,11.2426035502958,10,9.1515151515151,9.0964220739842,8.6114101184068,9.1428571428571,8.6757990867579,8.0267558528428,8.36820083682,9.090909090909,9.5959595959595,8.5106382978723,7.8947368421052,7.4074074074074,8.0321285140562,8.3333333333333,8.204081632653,7.7220077220077,7.320644216691,6.3327948303715,6.9767441860465,5.4083288263926,6.6985645933014,6.9767441860465,7.1428571428571,6.2519537355423,5.9211996909791,5.6981132075471,5.7306590257879,5.4545454545454,5.7511059819195,7.2753728628592,9.1428571428571,7.8048780487804,7.4101519081141,6.1135371179039,6.25,6.0377358490566,6.0377358490566,4.5662100456621,6.6666666666666,6.1135371179039,5.0125313283208,6.2893081761006,6.2893081761006,5.5555555555555,6.28125
